Date,User,Tweet
2022-10-26 23:28:04+00:00,Sebaticos,"Shout out to @solakafinta , man. Dude is taking serious risk just to put in the work for the Obidient movement.
When the battle is over, we shall remember all of y'all. Go bless you, bro. https://t.co/zITMnmXK83"
2022-10-26 23:27:45+00:00,ovenseri_thomas,@irishkyle731 @Memphis 😝
2022-10-26 23:27:43+00:00,Swanky_ja,I wonder where the 2000 is coming from when we're only 4 persons in one small room. https://t.co/uARkJghEnI
2022-10-26 23:27:24+00:00,ovenseri_thomas,"@FCBarcelona Real Madrid without Ronaldo still won Champions League, La Liga and produce Ballon Dor winner twice. 

Barcelona without Messi just average Europa League team. Why is there a GOAT debate?"
2022-10-26 23:25:33+00:00,realikeonwe,@kingrooku @Naija_PR 😌
2022-10-26 23:25:01+00:00,Emekaelenwoke,@PrideOfAPeacock Man has basically become Obidient!
2022-10-26 23:24:44+00:00,IkeuzoWakeup,@Truthfully83 All locals and obidient agents should be able to know those in the communities.
2022-10-26 23:24:36+00:00,Somto_chukwu101,@atiku Why do want to destroy this country @atiku
2022-10-26 23:24:31+00:00,jahosu1,"@MobilePunch Nothing do you my brother, I have listened to your several interviews and saw your stance on zoning. For sure you're indirectly Obidient. Come back home and join your brother Peter Obi."
2022-10-26 23:23:53+00:00,NwadinigwePaul,@renoomokri U are Obidient
2022-10-26 23:23:37+00:00,arinzedavi,@Ewatomishowdy @papywave That's when ure indoors though.
2022-10-26 23:23:25+00:00,TryNaija,Nigeria @62: Entertainers bemoan degenerating state of the nation! – Vanguard https://t.co/kzEy7wuX8u
2022-10-26 23:23:03+00:00,Naruto_OBi,"@opebanwo @NgLabour @Morris_Monye @Jack_ng01 @Doc_steena @akintollgate @BishopPOEvang This Monye guy na mumu wey dey feel say he dey more OBIDIENT than the rest of us...

Abeg we no need monye he should get away"
2022-10-26 23:22:55+00:00,Zarmaomar,When did we start welcoming corrupt people in to Obidient movement? https://t.co/co6XQ0vaob
2022-10-26 23:22:55+00:00,LadyXan_,"@Triciaduchess @Hannahfsaah Let them all continue crying as they don't even care about her mental health. They gon crrryyyy.

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE
#Phyna𓃰I"
2022-10-26 23:21:37+00:00,realikeonwe,"@nzubechukwu_ozo @PenTitan And men inherit what from his wife's family??? 

So a woman inherits land from her father and also owns her husband's, then a man inherits no land from his wife's family, or will the husband go and take part of their family land?"
2022-10-26 23:20:58+00:00,LadyXan_,"@LoloMackay1 @Triciaduchess @Hannahfsaah Stop always thinking that reporting people accounts is the solution, neither will it change their attitude. Learn to talk to people, sort things out, block or overlook them. Reporting someone's account is witch-hunting.

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE"
2022-10-26 23:20:56+00:00,De_Liberalist,@Turkmeinsten @ElekwachiJunior @vanguardngrnews Tell your candidate to visit Arise TV or Channel TV
2022-10-26 23:20:11+00:00,limitlessfrank,"What shall I say into the Lord? All I have to say is thank you Lord! May this grace that lead me safe thus far, lead me through!
Happy birthday to my humble self!!! 
When you see this, drop a prayer for me!!! https://t.co/QEf84JEKRc"
2022-10-26 23:20:07+00:00,Swanky_ja,"Latest update: 
Peter Obi - 69.98%
Sowore - 0.0001%
Kwankwaso - 0.098%
Tinubu and others - 28.51%
Void - 1% https://t.co/eQQUggIFcp"
2022-10-26 23:19:58+00:00,ObiChigbogu,@coybarker Amen 🙏
2022-10-26 23:19:35+00:00,ObiChigbogu,@ruffydfire Because you're big Man! You don't handle small small money 💸💰
2022-10-26 23:19:21+00:00,ovenseri_thomas,@talkfcb_ @CFCMod_ A Massive Failure 🤣😝
